Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
Epcam,149834.515625,230482.359375,125898.21875,338403.40625,836170.5625,119500.9453125,377868.53125,233422.53125,204377.71875,225726.78125,140553.4375,307048.09375,368873.5,338609.5,168571.125,260589.84375
Epdr1,209975.671875,159189.390625,144069.34375,230427.359375,405827.875,96026.5078125,115072.3046875,155351.625,122816.6328125,159940.015625,98983.546875,96579.3359375,106364.765625,99147.328125,114065.65625,117181.90625
Epg5,57039.61328125,109265.484375,93609.03125,39497.48828125,4806.35498046875,39942.72265625,38185.67578125,30232.146484375,49981.7421875,49821.6953125,45625.56640625,50053.8125,50913.87890625,41106.10546875,56667.87890625,44437.05859375
Epha2,3891.42431640625,1247.09790039062,0.0,0.0,0.0,3261.49975585937,8413.1806640625,0.0,6346.56494140625,6432.8876953125,4310.17578125,9807.9931640625,6870.15283203125,10252.58984375,5815.27099609375,6672.701171875
Ephb2;Epha7,302426.1875,400503.84375,338650.4375,0.0,0.0,428160.25,305318.25,416936.625,374369.625,358687.4375,301466.78125,141484.0625,302881.46875,212113.21875,375187.28125,367803.75
Ephx1,2331905.5,2410834.25,1949765.375,1571123.0,6531530.5,1643773.375,3921384.25,2741025.75,2851235.25,3780838.0,2567764.25,3284149.5,4533941.0,3237455.0,3312851.0,3149123.5
Ephx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.86083984375,5146.83984375,0.0,0.0,5093.82373046875,3058.03173828125,5221.27392578125
Epm2aip1,91648.3046875,102884.5546875,98284.59375,114131.3671875,51716.3671875,75334.4921875,60206.69140625,70739.5390625,87697.7109375,79459.0078125,95771.828125,89996.7890625,58502.984375,76438.40625,77927.3515625,77368.0
Epn1,65326.0078125,58962.71875,62540.8359375,24676.2109375,72120.7890625,55331.57421875,61489.92578125,45319.26953125,65762.84375,60312.83984375,59076.46484375,46307.98828125,41473.3125,54198.96484375,54495.58984375,57473.3203125
Epn2,131421.796875,608500.9375,82902.6484375,0.0,25597.513671875,110087.109375,113177.078125,116880.7890625,116474.828125,87510.0546875,92058.7265625,81538.5078125,85218.3515625,100061.53125,82564.8125,94431.96875
Epn3,172001.46875,153879.78125,159895.890625,223853.65625,137916.734375,135276.5625,87433.3203125,119274.8046875,102265.515625,92457.4453125,101847.4609375,121261.4140625,83615.625,104616.234375,89689.0859375,114096.2421875
Eppk1,985011.625,826468.25,680241.3125,983445.375,931642.625,690119.8125,729140.25,721020.625,1050711.0,1012540.75,810656.0625,750828.875,976212.6875,862868.8125,968188.75,872585.125
Eprs1,1764913.0,1700499.375,1697113.75,1683858.5,1453181.25,1418433.625,1383531.875,1389436.625,1393914.625,1348967.5,1529205.5,1319349.25,1207267.375,1337140.125,1301533.625,1275192.625
Eps15,255329.6875,287087.875,226618.828125,216777.609375,238155.28125,202134.140625,168353.609375,185397.1875,214703.484375,204228.53125,242919.890625,196128.484375,179955.09375,200465.453125,178563.046875,194875.515625
Eps15l1,429421.46875,415556.3125,424805.8125,560544.375,424915.5625,449791.28125,306267.8125,320344.78125,322449.40625,277069.46875,299793.625,312419.9375,287816.15625,310506.90625,283977.9375,284005.21875
Eps8,203407.75,168296.78125,204533.34375,331254.6875,191218.140625,220929.421875,169880.1875,218659.28125,138392.140625,138716.734375,107665.5,107283.6875,151162.9375,175570.578125,171773.8125,137170.984375
Eps8l1,396332.40625,402776.875,434555.4375,553962.3125,439842.1875,382277.125,331104.3125,414413.21875,393001.78125,380312.40625,385133.90625,383222.40625,307249.9375,300037.09375,326110.46875,332633.5625
Eps8l2,505592.1875,440604.9375,471835.90625,662623.4375,490657.875,483916.375,419177.84375,469973.125,397981.6875,421243.03125,387891.125,410940.28125,428581.625,415746.71875,450568.84375,424291.1875
Epx,0.0,0.0,0.0,0.0,0.0,0.0,40270.58984375,127431.4296875,126324.59375,85762.8359375,54572.796875,0.0,112099.4765625,115485.921875,0.0,121967.7734375
Eral1,356724.09375,179899.734375,214322.71875,94800.921875,135733.734375,96931.53125,85808.7890625,92957.5078125,54602.80859375,59181.171875,47651.4609375,48427.875,48483.15234375,44456.5546875,60715.86328125,39819.21875
Erap1,977960.6875,972924.75,794329.3125,683364.9375,786832.5,738786.0,858290.0625,808410.125,1182132.375,1082213.375,1249516.875,1125379.625,1161263.625,997855.625,995303.0,1046024.6875
Erbb3,0.0,43671.3515625,17556.82421875,0.0,0.0,21586.765625,21140.556640625,0.0,0.0,0.0,17632.712890625,21141.63671875,16252.5478515625,13175.7021484375,0.0,13074.5546875
Erbin,80977.125,82139.9296875,73291.859375,64023.76171875,131799.703125,55241.22265625,62606.85546875,66033.484375,56724.71875,68281.21875,65987.796875,72461.6171875,74269.2109375,76602.6484375,81482.1171875,70146.0
Erc1,34211.21875,32648.83203125,32877.6015625,29357.451171875,97121.84375,13558.7998046875,22390.0625,21833.08203125,19248.017578125,11780.3984375,19266.181640625,12060.1796875,12393.8447265625,16357.001953125,4862.1669921875,11724.990234375
Ercc2,25485.650390625,29013.767578125,35719.95703125,57866.109375,44461.80859375,4902.7373046875,21247.30078125,32236.478515625,24016.080078125,33478.203125,23088.54296875,25394.859375,21352.421875,24844.16796875,24081.857421875,4329.21044921875
Ercc3,27952.646484375,25017.583984375,32771.3125,0.0,21088.607421875,16701.05859375,11562.552734375,17454.654296875,17980.150390625,30212.056640625,19607.01171875,19848.599609375,17899.673828125,28941.72265625,24684.484375,21592.6328125
Ercc4,42637.5625,33536.0,41201.53125,36575.2109375,30914.005859375,36408.03125,21401.76171875,34887.33984375,30360.986328125,35340.1640625,38904.22265625,30060.822265625,29785.578125,45339.25,41866.11328125,37594.99609375
Erf,38680.625,26742.017578125,8879.697265625,0.0,0.0,5172.46142578125,3129.72631835937,11481.6630859375,4891.35546875,10505.6591796875,11306.140625,10376.6142578125,6662.5634765625,6955.29736328125,10148.7685546875,6634.6044921875
Ergic1,124476.0625,141735.8125,99018.3203125,56010.2890625,326705.40625,93647.7578125,139762.328125,95707.6484375,121457.265625,164522.53125,73821.734375,146136.0625,152472.46875,154675.96875,103731.0546875,100457.4296875
Ergic2,30728.83984375,85484.53125,23739.677734375,0.0,24313.349609375,33441.37109375,32709.798828125,45294.0859375,61690.19140625,69496.171875,44055.40625,0.0,61378.765625,80062.40625,49973.39453125,52364.84375
Ergic3,101843.2578125,134641.59375,548021.875,52462.4453125,170083.09375,60238.31640625,63069.8515625,59667.9765625,64176.171875,86812.0625,50877.55078125,64876.63671875,51743.01171875,60563.73828125,59067.00390625,65481.5546875
Erh,390826.8125,1024140.125,1390748.25,909404.3125,1480688.0,1069920.75,1451670.875,751563.125,942417.9375,1014291.4375,1299091.75,925142.5,1143247.5,1124927.0,748754.8125,1139308.25
Eri3,21413.33984375,0.0,229715.890625,0.0,56165.30078125,73218.6796875,39710.8203125,93183.4921875,130647.453125,133802.765625,89500.7421875,87692.1640625,126603.03125,116020.671875,113790.21875,110851.0
Erlec1,58886.62109375,106944.734375,79667.671875,89514.6796875,136342.96875,21139.486328125,54433.43359375,29816.478515625,39224.4765625,46983.22265625,22087.6953125,34389.1875,33838.7890625,53939.05859375,36863.203125,29589.4375
Erlin1,0.0,26164.046875,0.0,4770.48388671875,12415.6806640625,9798.0009765625,17067.529296875,14118.357421875,19512.291015625,20982.947265625,11500.625,25694.71875,13931.7529296875,23185.73046875,10658.4970703125,13882.5146484375
Erlin2,44376.30859375,81900.3203125,46139.578125,118754.671875,215044.53125,42666.8515625,102240.4453125,58628.91796875,87579.078125,104773.359375,55062.42578125,97126.1796875,87433.3359375,94598.5390625,56615.3125,67493.34375
Ermp1,47889.44921875,68048.2890625,41219.29296875,68340.9765625,147854.546875,41860.0234375,105726.0546875,58567.8515625,57292.984375,65153.2265625,31410.22265625,81333.2578125,68709.2890625,63442.71875,31157.994140625,41437.75390625
Ero1a,733233.9375,693813.75,672804.8125,776649.9375,594301.375,665738.25,585398.4375,683772.625,735481.5625,668264.75,841816.875,785150.125,694582.375,792684.125,695291.875,780951.8125
Erp29,1588094.25,1523801.0,1238727.25,1121308.625,1327041.875,1734445.75,1056307.125,1433572.5,1633714.75,1280664.5,1537888.375,1378033.5,1705348.875,1591284.0,1602547.25,1784633.75
Erp44,1565930.25,1311021.5,1195670.75,1978502.125,1998698.125,1364042.75,1469811.75,1519938.75,1687648.625,1722471.375,1745903.625,1644722.0,1705522.0,1712608.5,1593403.125,1878527.0
Esam,12618.4990234375,107447.9296875,28483.970703125,40904.9375,53441.94140625,0.0,32460.21875,41511.11328125,11654.6748046875,13375.7763671875,18697.4765625,33446.390625,12814.32421875,33302.41015625,12364.38671875,16260.896484375
Esd,3300394.75,2389794.0,2796630.25,3043275.0,2702520.5,2342646.5,2383939.0,2365521.25,3927046.5,3957266.5,3457110.0,3429310.75,3200785.75,3418765.25,3159289.75,3449633.75
Esr1,27834.11328125,0.0,14007.2119140625,0.0,0.0,0.0,1488.77551269531,16087.7412109375,17838.4375,61716.4921875,54532.49609375,27261.3671875,0.0,23669.26171875,24739.169921875,2307.01123046875
Esrp1,172522.046875,212379.671875,152225.8125,239876.90625,186834.390625,211127.484375,219178.5625,166198.03125,174696.609375,170120.296875,135963.921875,155125.46875,127733.453125,147320.03125,156201.46875,142864.3125
Esrp2,201828.6875,200733.578125,172758.546875,232925.96875,155549.671875,209579.390625,139366.65625,157786.34375,119184.203125,123650.6328125,123026.4609375,113066.5078125,102429.4296875,110742.5546875,122051.046875,121114.0625
Esrra;Esrrb,14010.7744140625,0.0,24474.853515625,0.0,0.0,6775.69140625,11929.61328125,11076.0419921875,14707.439453125,12064.5244140625,16614.05859375,10110.8603515625,10861.091796875,13698.4794921875,11427.1953125,8742.486328125
Esyt1,506573.1875,431999.125,372443.34375,708256.3125,833232.8125,375266.4375,536789.0625,437573.625,387374.1875,425348.15625,345958.65625,419294.59375,716122.3125,686838.8125,407482.46875,413091.03125
Esyt2,288227.25,282798.65625,221359.9375,312097.125,380610.0625,277050.5625,346141.21875,296129.34375,254908.53125,269476.9375,220951.640625,262758.3125,341398.15625,341135.84375,293084.40625,294731.25
Esyt3,36257.00390625,57576.30859375,37133.23828125,20208.56640625,66190.9609375,12135.076171875,40389.57421875,30259.02734375,38924.40234375,44843.5,30018.537109375,36753.12890625,27795.826171875,31000.578125,21197.017578125,43803.68359375
Etf1,502760.4375,307975.59375,440438.4375,477284.65625,407675.53125,331964.28125,259378.859375,413105.40625,504330.59375,462287.375,442570.03125,444557.5625,498539.03125,409614.875,543726.0625,515788.59375
Etfa,11463175.0,7117553.5,9769219.0,11383235.0,12384105.0,8813586.0,10008769.0,9059700.0,7499373.0,8776941.0,9121260.0,7421452.5,11010180.0,7901226.5,8598026.0,9242030.0
Etfb,9993021.0,8463612.0,7760785.5,11275735.0,15017145.0,9008139.0,9055455.0,10241792.0,7982442.0,8230371.0,8497285.0,7347442.5,11057199.0,7567226.5,9041881.0,8819930.0
Etfdh,373690.25,497787.5,543711.125,490639.5625,917108.75,267427.46875,673154.9375,567144.875,371488.03125,379383.15625,326327.8125,566232.1875,715364.0,604787.4375,468532.90625,625971.0625
Etfrf1,141421.28125,258982.9375,245337.265625,153327.34375,309858.625,223669.8125,175091.9375,196894.890625,163591.84375,224987.96875,206989.9375,176764.25,225457.875,223651.0,211891.828125,250229.4375
Ethe1,302177.65625,299774.40625,287033.0,392944.21875,520895.40625,432728.625,396630.53125,341609.625,316717.5625,292249.53125,313863.3125,298037.40625,403728.6875,312926.75,383723.90625,337746.03125
Etnk1,73298.4609375,0.0,0.0,93367.5390625,64275.98046875,62093.19140625,70330.9375,60347.42578125,38153.453125,36137.328125,50194.04296875,54009.1484375,0.0,58712.90234375,42347.74609375,46534.4453125
Etv6,0.0,0.0,0.0,0.0,136091.40625,0.0,53494.8203125,0.0,0.0,0.0,13331.4169921875,8313.8154296875,11315.40625,17139.0234375,0.0,0.0
Evi5,19375.796875,0.0,0.0,0.0,0.0,0.0,0.0,5094.46484375,7295.615234375,7629.14013671875,0.0,0.0,5944.927734375,9183.34765625,0.0,6863.90966796875
Evl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54273.08203125,30043.056640625,0.0,0.0
Evpl,68129.4765625,94171.9375,71705.2890625,84715.90625,114521.0390625,53082.87890625,68778.3515625,63019.609375,29151.5625,32896.31640625,31106.25390625,32988.15234375,26454.328125,31247.173828125,28255.033203125,28619.673828125
Ewsr1,247351.8125,161041.796875,287202.84375,240891.296875,279705.125,199849.75,279378.71875,254859.421875,277270.84375,347787.625,350305.65625,375516.25,426992.0625,307191.1875,352995.9375,399313.1875
Exoc1,156583.578125,196038.765625,146681.703125,122788.28125,92506.34375,142407.625,108567.890625,129329.4609375,134487.875,133932.109375,168898.9375,145307.203125,136105.828125,159854.796875,152615.1875,143045.453125
Exoc2,131290.921875,162295.5625,169198.4375,142547.5,112484.1328125,159125.6875,100133.09375,130833.34375,117713.359375,123936.5,130981.578125,120226.3359375,110786.65625,130129.9765625,120802.0078125,124676.34375
Exoc3,118842.546875,102944.8984375,127322.5859375,88128.5390625,84405.2265625,97772.0,86912.578125,110387.296875,105196.2734375,99706.9140625,109686.3984375,90701.40625,91671.75,105898.640625,102674.859375,95204.5703125
Exoc4,192554.65625,160680.78125,163523.5625,195328.46875,102746.203125,143358.625,120621.421875,132058.65625,133895.796875,120896.7578125,136085.90625,127693.171875,132015.671875,129737.8046875,134622.5625,128742.3828125
Exoc5,198466.3125,132832.8125,151695.921875,210874.453125,128773.1484375,133053.296875,120380.3984375,121787.796875,113083.25,120073.96875,115230.578125,123389.5859375,127113.90625,133059.9375,136924.1875,126000.484375
Exoc6,77703.2265625,52788.57421875,42048.265625,74829.5546875,38145.140625,9281.7236328125,0.0,21065.775390625,6272.8388671875,14661.2841796875,8587.26953125,7807.6982421875,13505.1640625,6612.2626953125,10816.3115234375,13152.8544921875
Exoc6b,103897.59375,118261.5234375,92613.390625,168744.40625,111534.9609375,93848.6875,85648.1015625,105878.640625,93102.9765625,94668.6875,83794.875,92922.2109375,79079.765625,96783.28125,100407.578125,89083.6875
Exoc7,64194.078125,55097.75,47336.63671875,96766.625,68945.0234375,42676.25,26857.90234375,40312.53515625,30632.5234375,43548.42578125,33199.46875,33548.1015625,32871.75390625,34221.28125,34954.82421875,30720.06640625
Exoc8,301556.09375,245343.03125,260402.75,343131.4375,268375.9375,268800.375,223962.21875,267440.90625,215238.390625,224160.296875,218835.28125,227472.390625,218178.515625,213839.078125,205293.515625,223280.53125
Exosc1,42584.6640625,30394.001953125,32259.2265625,16121.490234375,30644.12890625,26487.029296875,27944.12109375,38770.39453125,41998.13671875,34219.98828125,48034.3046875,34393.02734375,45655.09765625,48386.40234375,48768.66796875,44929.29296875
Exosc10,81063.7109375,85260.5859375,75007.765625,103126.8828125,82843.71875,85633.0859375,75485.9375,75136.09375,83081.234375,83870.09375,82774.8125,77123.09375,81775.3828125,89850.703125,94052.7890625,76115.203125
Exosc2,0.0,0.0,0.0,88546.0078125,0.0,14383.0322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exosc3,47082.1015625,0.0,13868.84765625,0.0,9340.9892578125,141216.40625,18374.595703125,69507.34375,72088.4921875,89012.6015625,35901.3046875,107754.3359375,107405.171875,73839.4140625,94303.1015625,51210.4296875
Exosc4,74509.8203125,98747.34375,93711.875,23874.00390625,91577.9375,79241.96875,58911.54296875,70642.109375,79196.7421875,114574.0859375,78642.515625,78649.9921875,63927.21875,63588.0,65098.05859375,77604.1640625
Exosc5,218261.359375,95167.2578125,105341.984375,137025.0625,150871.203125,73508.4609375,78098.0546875,68374.3984375,78767.4921875,96773.390625,74760.234375,76859.4453125,63316.78125,72729.296875,84065.203125,75836.265625
Exosc6,112401.7734375,115286.7734375,159716.125,146624.8125,145668.734375,127147.765625,118348.5546875,104660.34375,91669.8984375,111969.7578125,119153.2734375,100129.3046875,87831.1484375,105751.390625,63860.22265625,104794.5703125
Exosc7,58340.37890625,105408.84375,121523.359375,108736.2421875,123302.4296875,86009.0859375,73096.015625,81250.734375,78271.6953125,85584.296875,77743.5859375,68988.0390625,72865.7109375,63207.98828125,62566.00390625,65589.375
Exosc8,117695.078125,71507.609375,111662.1484375,116746.265625,26736.080078125,82710.1875,95022.515625,97858.8671875,64032.16015625,147191.03125,145742.375,79894.8828125,134947.5625,109446.8046875,96570.8984375,82441.5
Exosc9,92087.359375,103578.7109375,98969.5546875,130488.25,124771.2578125,119755.5625,150685.75,92443.1328125,76143.2265625,112103.046875,95123.2421875,92821.0703125,106166.8671875,77393.171875,95769.046875,57098.15234375
Ezh1,35066.328125,25104.365234375,34242.83203125,0.0,335681.71875,41071.4765625,32258.58984375,24254.47265625,31300.57421875,52925.31640625,98541.2578125,43391.33203125,39995.609375,44121.8359375,94837.734375,69435.984375
Ezr,3765175.5,2780884.25,3502060.25,4677066.0,3565975.0,3103922.0,3462428.25,3215931.5,2867679.0,3180897.0,3117919.0,3103511.25,3688736.75,3189704.5,4057752.25,3652458.75
F11r,182395.140625,705290.625,368998.1875,71192.6640625,225840.90625,133429.875,312598.8125,331846.65625,153596.90625,225076.625,216049.15625,258911.375,298546.53125,278003.3125,201478.8125,253774.765625
F13a1,0.0,11266.9345703125,0.0,0.0,0.0,0.0,0.0,4777.666015625,0.0,12018.2548828125,0.0,9520.9072265625,30817.85546875,33761.9296875,0.0,8155.3779296875
F13b,52856.171875,40883.5625,29653.873046875,18738.595703125,0.0,0.0,0.0,21233.318359375,0.0,0.0,11203.4228515625,6997.17919921875,0.0,9877.68359375,0.0,13950.814453125
F2,241783.484375,62956.828125,70226.2421875,0.0,0.0,74526.3203125,110242.765625,172232.328125,108103.203125,142168.03125,81022.5390625,60439.83203125,190262.875,141166.375,135256.3125,185388.375
F5,88731.78125,19701.564453125,58819.96484375,61486.6640625,0.0,8942.212890625,50118.9609375,30732.228515625,50525.74609375,66834.8515625,36084.296875,31608.640625,65028.65625,46872.7109375,69246.125,47595.0703125
F8a1,103146.8359375,72334.1328125,86797.6953125,115450.375,79769.625,99506.7734375,69099.3359375,78832.5625,102747.6796875,97915.8046875,105026.15625,89725.5,88751.25,112598.125,55127.71875,99634.671875
Faah,172116.171875,341744.59375,206820.921875,252564.84375,535207.125,170289.421875,404299.03125,249880.515625,245052.1875,318623.125,229019.6875,304330.46875,361073.125,282920.21875,235678.0,270021.96875
Fabp5,21428658.0,20347854.0,27481752.0,31293664.0,9875982.0,29642102.0,23482422.0,22135036.0,34365232.0,31523558.0,42862492.0,36076896.0,26438644.0,22105018.0,22651242.0,34421336.0
Fadd,465917.8125,513311.09375,398465.40625,392017.65625,382060.6875,386721.375,294921.40625,306610.96875,328810.1875,314201.78125,349440.03125,320514.4375,423303.0,387013.6875,327854.71875,389667.4375
Fads1,58224.1640625,60423.2890625,29697.48046875,9878.8291015625,70505.3828125,16431.18359375,33469.26171875,15612.7841796875,25973.533203125,31967.478515625,15855.9853515625,31711.154296875,27690.01171875,41561.1328125,26478.658203125,31864.884765625
Fads2,7441.57861328125,20868.45703125,16605.810546875,0.0,8146.82568359375,0.0,9856.896484375,12977.443359375,16210.7646484375,15952.1064453125,13724.630859375,17809.87890625,12393.013671875,16224.9248046875,6449.60400390625,7736.50146484375
Fads3,26574.03125,8694.7978515625,0.0,0.0,0.0,0.0,9044.9453125,0.0,27828.9375,24922.3515625,12603.8994140625,18227.7890625,24607.763671875,19807.0234375,35369.546875,19658.23046875
Fads6,0.0,28143.50390625,16525.5625,0.0,72315.421875,7700.40869140625,16301.0390625,10192.7568359375,9923.0126953125,22511.021484375,8206.41015625,15184.857421875,13086.74609375,19185.77734375,11679.67578125,9750.8603515625
Faf1,371909.875,374196.71875,287177.8125,212203.984375,183079.09375,222284.890625,246488.859375,240518.953125,251877.4375,310534.84375,274174.65625,287569.34375,272236.46875,299450.875,367196.5,288447.21875
Faf2,91315.34375,167042.421875,92098.1875,194129.71875,351444.125,92609.3359375,153534.15625,120782.1640625,162669.34375,170520.234375,122126.125,202317.796875,164287.3125,187679.734375,129565.1953125,140985.390625
Fah,882441.6875,828575.3125,879100.1875,1065020.75,743856.1875,790747.8125,721554.1875,733427.0,547107.4375,468098.8125,541869.375,506506.71875,347521.15625,401111.03125,505778.34375,417738.03125
Fahd1,343855.03125,286538.21875,316885.5,512389.6875,495054.0625,352314.125,355274.0625,330845.15625,248973.25,301807.125,289838.625,249559.4375,341778.96875,282673.4375,307471.59375,271921.5625
Fahd2,538801.8125,625696.5,441098.59375,317521.34375,479827.875,589466.1875,624064.125,640056.0625,541337.875,534600.625,601833.5625,519294.65625,558888.0,452161.34375,483395.03125,555182.9375
Fam114a1,51994.96484375,35870.296875,44325.00390625,38233.90625,48759.4140625,27693.447265625,33044.74609375,24173.94140625,41347.359375,42859.59765625,32583.51171875,41649.26171875,24586.18359375,26304.126953125,33827.9375,29353.408203125
Fam114a2,148544.59375,97859.65625,127133.125,106751.828125,106956.4296875,135498.0625,91075.15625,95963.59375,102621.515625,112747.03125,112331.0546875,101192.8515625,105882.9765625,76381.6640625,96501.6875,101854.578125
Fam117b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639.46203613281,0.0,0.0,0.0,686.041687011718
Fam118b,7040.205078125,21799.208984375,0.0,34375.48046875,0.0,15123.1201171875,5490.40966796875,7074.56884765625,10232.197265625,7743.50732421875,10034.419921875,10278.7685546875,8477.62890625,7198.2001953125,8729.99609375,11498.244140625
FAM120A,607372.875,505570.875,527796.375,628522.8125,415723.78125,475297.125,421625.71875,482095.375,521727.34375,516305.15625,549197.3125,496165.15625,449831.8125,522883.90625,485338.96875,492111.5625
Fam120b,0.0,0.0,0.0,0.0,0.0,12140.0751953125,0.0,12121.1318359375,20665.9453125,24805.99609375,23623.458984375,21376.462890625,14933.2490234375,15337.001953125,17807.11328125,9766.4599609375
Fam120c,122705.03125,113055.828125,126129.203125,149499.6875,137741.375,92291.203125,94174.46875,111673.5625,89849.5546875,140242.390625,111903.8984375,104528.1328125,94615.765625,107030.5234375,75026.90625,102729.765625
Fam13a;Fam13b;Fam13c,23069.591796875,20376.671875,16470.544921875,0.0,9483.2001953125,35368.390625,27635.708984375,37410.2578125,39592.58203125,61308.11328125,39570.52734375,39549.99609375,51600.46484375,35371.62890625,54379.54296875,52238.546875
Fam162a,20913.203125,63861.484375,69490.15625,76690.8828125,438196.6875,35790.64453125,99702.984375,45980.80078125,51389.34375,59357.42578125,41793.32421875,117223.0546875,73496.5546875,75330.7421875,43891.48828125,61643.7109375
Fam174b,0.0,31854.146484375,0.0,0.0,74164.5625,0.0,83483.5234375,62701.86328125,90449.7421875,117669.875,83895.8984375,108302.1015625,81599.9921875,96723.34375,37460.66015625,69135.4375
Fam177a1,126513.2890625,165257.265625,87440.6484375,72759.6953125,267439.8125,131465.34375,98368.40625,106233.5078125,98763.578125,63252.30859375,79911.3046875,79546.078125,102611.78125,69687.28125,61277.671875,76331.4921875
Fam20b,101598.171875,109747.46875,76345.0390625,138540.953125,247932.3125,113656.109375,97078.453125,80193.34375,76261.1015625,53228.05078125,48704.82421875,113582.65625,58544.3671875,71114.34375,68468.6796875,68761.3203125
Fam221a,125815.234375,146105.109375,127373.9765625,134094.078125,111078.734375,133601.359375,90722.1640625,94735.2578125,92281.265625,102935.4453125,103811.0546875,118856.171875,120064.984375,125533.71875,102824.578125,110305.8984375
Fam241a,0.0,0.0,0.0,8284.9677734375,18883.376953125,0.0,12160.5869140625,0.0,26349.09375,26344.638671875,0.0,29800.27734375,13102.9072265625,16313.1279296875,10724.466796875,2373.05712890625
Fam3c,84203.6484375,125853.046875,74686.8203125,219772.734375,255037.921875,75662.6328125,157409.796875,101535.1171875,147943.46875,131399.75,92529.1328125,145581.03125,103188.9921875,156213.796875,124896.46875,120822.0
Fam3d,64084.58984375,104070.5,40347.8828125,42452.078125,262927.34375,0.0,54518.90234375,60747.53125,39669.2421875,81137.484375,42015.921875,75378.375,68248.9609375,66311.6015625,12416.98828125,48185.6953125
Fam50a,95305.9140625,102871.734375,81186.453125,92022.359375,118039.8359375,107762.6875,94212.7734375,100765.3671875,92238.109375,103265.4765625,75176.8125,69446.5625,124494.046875,94741.3984375,110919.6015625,67018.28125
Fam76a,15594.8974609375,5231.748046875,0.0,0.0,0.0,18002.646484375,6469.7998046875,14713.173828125,1954.47802734375,12717.0380859375,7674.18798828125,9618.39453125,10073.966796875,9299.0791015625,24168.615234375,14275.685546875
Fam76b,17130.083984375,18747.8671875,19511.96484375,41863.93359375,24620.189453125,26021.71484375,17799.33984375,26924.734375,20171.396484375,16183.87890625,26031.59375,15291.203125,17701.41796875,18484.501953125,12272.873046875,14472.5673828125
Fam83g,37056.0234375,73198.625,60015.5546875,87036.3046875,58762.578125,31849.21484375,35047.1015625,31732.00390625,28989.140625,32141.0,31434.61328125,29636.19921875,30891.7890625,25812.0234375,24597.27734375,31294.431640625
Fam83h,26921.400390625,44909.78515625,26887.93359375,20208.591796875,0.0,14786.125,18644.759765625,11785.8759765625,15515.958984375,19341.931640625,11804.4189453125,12720.6416015625,9003.720703125,7619.3642578125,11524.625,8694.6494140625
Fam91a1,188178.765625,161719.84375,181841.203125,255946.828125,145327.40625,196601.359375,154521.515625,188901.921875,180490.125,172326.890625,198821.890625,171424.390625,159541.0,157527.578125,185018.625,169230.9375
Fam98a,67663.09375,97189.7421875,105039.484375,201892.078125,60220.09375,67459.4921875,58852.8515625,75060.375,56316.1875,81295.828125,80514.171875,83428.546875,64403.19140625,78287.390625,92022.375,77674.984375
Fam98b,266833.8125,305841.125,224788.1875,527158.0,378288.90625,287957.46875,231943.953125,239551.6875,280880.875,235048.46875,235409.421875,222061.984375,327715.28125,251509.3125,337355.34375,269593.59375
Fank1,86697.2890625,182035.921875,98365.5078125,0.0,83604.46875,87825.5703125,43753.53125,77148.9140625,61281.76171875,57259.0390625,46682.125,58239.36328125,87516.96875,58734.0703125,73288.1640625,70333.1015625
Farp1,210536.59375,212774.78125,196474.734375,206893.609375,225587.328125,180080.34375,175568.65625,187274.6875,179957.75,192469.53125,178963.046875,183238.03125,162535.234375,163907.34375,166398.109375,147211.625
Farp2,43313.73046875,40721.109375,31572.017578125,6.92576551437377,23864.19140625,17560.154296875,26751.79296875,28964.51953125,24374.13671875,36942.47265625,29162.65625,33592.3515625,22828.33984375,29774.24609375,29465.09765625,29748.404296875
Fars2,219280.28125,240141.234375,182870.390625,109036.3828125,259891.671875,176616.1875,173405.859375,204849.984375,198565.90625,239332.171875,193315.09375,182794.359375,245536.25,198532.1875,238968.734375,239275.640625
Farsa,611412.875,560286.5,642649.25,789620.375,649302.375,513800.375,550892.875,561574.5,607975.75,658783.375,661600.875,581982.125,549090.5,617141.8125,646821.1875,588003.5625
Farsb,1250093.25,1179362.25,1182101.75,1644743.125,1171401.5,992113.125,990729.6875,938371.3125,1014064.375,898551.0625,1027538.1875,935690.9375,852310.4375,784117.4375,963343.5625,841291.1875
Fasn,24200982.0,17911172.0,19522590.0,27057174.0,8492033.0,20576676.0,13906930.0,15934363.0,20027340.0,16314170.0,23869920.0,21009972.0,13167292.0,18535078.0,15169031.0,18384930.0
Fastkd2,0.0,16138.9814453125,0.0,30006.833984375,40182.8671875,15694.3623046875,19587.291015625,17943.953125,18729.13671875,16518.931640625,16688.029296875,14797.2265625,17510.849609375,14807.9658203125,13780.171875,16423.251953125
Fau,547502.125,348314.03125,340020.5625,404341.3125,512147.6875,273800.0625,264203.28125,152739.75,292278.71875,177286.59375,235878.875,197172.09375,141508.21875,111090.953125,3516.69702148437,97241.6484375
