Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
Timm8a1,755763.4375,56755.20703125,284789.53125,0.0,324942.78125,282672.375,246157.53125,261541.921875,235861.21875,337480.65625,271684.78125,197863.109375,218663.859375,259488.015625,298054.78125,286916.84375
Tinf2,0.0,7171.3232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiprl,110832.09375,73534.171875,109594.4296875,77823.90625,39796.96875,81713.359375,77394.640625,87970.6015625,93668.3515625,99282.9453125,119564.84375,89340.1484375,112527.1640625,103232.65625,117800.5546875,109812.578125
Tjp1,789426.0625,884293.375,723778.0,1030643.5,730155.8125,765135.3125,699700.875,752967.25,558038.875,605127.0625,645843.25,589019.5,572345.8125,580989.0625,491176.65625,612186.625
Tjp2,1489431.875,1305249.5,1285000.375,1858869.0,1110038.5,1266634.0,1193160.75,1197884.5,1003981.875,1058112.75,1061914.75,1008573.9375,816879.375,927336.0,1034226.625,958835.875
Tjp3,172755.234375,239644.1875,155715.265625,232673.5625,214184.859375,161326.75,166830.28125,155249.59375,200969.359375,213385.375,242409.828125,227871.546875,207412.59375,238790.1875,211715.078125,246230.21875
Tk2,160000.65625,133109.015625,106077.5,181949.34375,170433.984375,145573.078125,150295.828125,143382.390625,154180.078125,167902.46875,134218.0625,132555.578125,162267.0625,130711.4609375,128387.9453125,145462.21875
Tkfc,121714.4609375,140201.296875,104025.765625,116062.515625,215388.25,90840.6015625,135123.78125,120661.59375,173587.9375,156147.203125,152239.4375,158276.765625,140391.390625,118263.59375,141356.421875,147041.5625
Tkt,11327985.0,8829288.0,10724936.0,18084834.0,9571021.0,9837659.0,9759776.0,9235388.0,9687438.0,8940216.0,9729403.0,9487680.0,8154114.0,7715744.5,8080694.0,8628101.0
Tlcd1,0.0,22176.333984375,10583.771484375,0.0,0.0,0.0,6739.56103515625,0.0,0.0,15394.3818359375,9365.0673828125,17736.716796875,6358.42919921875,16973.61328125,11007.3251953125,4508.05029296875
Tlcd4,32689.087890625,0.0,25680.439453125,0.0,0.0,0.0,12489.392578125,32268.560546875,53933.25,73498.0546875,33014.1640625,9686.2802734375,61708.68359375,20457.423828125,46182.92578125,51412.41796875
Tle1;Tle4,117490.65625,164328.203125,86014.28125,78752.171875,109070.2109375,133261.390625,123672.71875,99403.828125,101037.2109375,93602.0703125,84245.8515625,93212.6328125,95346.1796875,82176.03125,113309.390625,88511.84375
Tle3,89258.25,43709.1640625,72215.734375,175668.140625,111799.109375,649204.375,42143.140625,53948.6484375,60760.36328125,59642.40625,47963.0546875,53717.8984375,83101.1328125,56691.8125,46040.79296875,70184.9453125
Tle5,6275.4208984375,0.0,0.0,1526.55786132812,2017.50317382812,7930.93115234375,5519.13818359375,4317.11376953125,8195.115234375,8116.9052734375,6697.34765625,5691.85205078125,7336.14111328125,10094.529296875,0.0,10056.798828125
Tln1,1272726.875,1289245.5,1226706.0,1731852.625,1027881.8125,1174441.625,1132526.375,1094185.125,985575.5,967368.9375,1117428.25,957737.3125,1108916.25,1069675.5,855233.0,883692.0
Tln2,224337.984375,201261.171875,184475.5625,282958.78125,217559.34375,173176.8125,178481.84375,166977.546875,99574.265625,133672.515625,111521.625,119658.3125,146337.78125,129969.953125,163999.40625,155968.75
Tlr5,0.0,0.0,0.0,0.0,6433.42431640625,0.0,3312.1337890625,2247.62109375,0.0,3058.52661132812,1956.86157226562,6070.9990234375,0.0,3923.7451171875,0.0,2655.53686523437
Tm9sf1,76864.2890625,63539.79296875,51570.875,23362.94921875,132885.328125,49701.3984375,46480.4453125,45957.9921875,48599.14453125,80884.1953125,48088.6953125,70619.5390625,72378.3359375,93540.9765625,52271.765625,76604.609375
